fox:FOXG_00002	ko:K20046
fox:FOXG_00168	ko:K02510
fox:FOXG_00169	ko:K03015
fox:FOXG_00170	ko:K24121
fox:FOXG_00172	ko:K01955
fox:FOXG_00173	ko:K14015
fox:FOXG_00174	ko:K12273
fox:FOXG_00176	ko:K02605
fox:FOXG_00178	ko:K12854
fox:FOXG_00180	ko:K10755
fox:FOXG_00181	ko:K10585
fox:FOXG_00186	ko:K07748
fox:FOXG_00189	ko:K02736
fox:FOXG_00190	ko:K00820
fox:FOXG_00191	ko:K03064
fox:FOXG_00192	ko:K14294
fox:FOXG_00193	ko:K01537
fox:FOXG_00194	ko:K00419
fox:FOXG_00195	ko:K10625
fox:FOXG_00196	ko:K11761
fox:FOXG_00199	ko:K17792
fox:FOXG_00200	ko:K08286
fox:FOXG_00202	ko:K12826
fox:FOXG_00203	ko:K01845
fox:FOXG_00204	ko:K14538
fox:FOXG_00205	ko:K12585
fox:FOXG_00208	ko:K02326
fox:FOXG_00214	ko:K01758
fox:FOXG_00216	ko:K14847
fox:FOXG_00217	ko:K13342
fox:FOXG_00224	ko:K14570
fox:FOXG_00227	ko:K00794
fox:FOXG_00230	ko:K00888
fox:FOXG_00231	ko:K02732
fox:FOXG_00234	ko:K04482
fox:FOXG_00236	ko:K18466
fox:FOXG_00237	ko:K02940
fox:FOXG_00239	ko:K02144
fox:FOXG_00240	ko:K00605
fox:FOXG_00241	ko:K06018
fox:FOXG_00249	ko:K00294
fox:FOXG_00251	ko:K23553
fox:FOXG_00252	ko:K08866
fox:FOXG_00253	ko:K02888
fox:FOXG_00254	ko:K14842
fox:FOXG_00255	ko:K11434
fox:FOXG_00256	ko:K01836
fox:FOXG_00257	ko:K08991
fox:FOXG_00258	ko:K00793
fox:FOXG_00261	ko:K14844
fox:FOXG_00264	ko:K03012
fox:FOXG_00265	ko:K20303
fox:FOXG_00266	ko:K03029
fox:FOXG_00268	ko:K24272
fox:FOXG_00270	ko:K17081
fox:FOXG_00271	ko:K12158
fox:FOXG_00272	ko:K15077
fox:FOXG_00273	ko:K03139
fox:FOXG_00274	ko:K22911
fox:FOXG_00277	ko:K01183
fox:FOXG_00279	ko:K00033
fox:FOXG_00280	ko:K25079
fox:FOXG_00281	ko:K15280
fox:FOXG_00283	ko:K15631
fox:FOXG_00284	ko:K27103
fox:FOXG_00285	ko:K11135
fox:FOXG_00286	ko:K01889
fox:FOXG_00288	ko:K11108
fox:FOXG_00291	ko:K14650
fox:FOXG_00293	ko:K11344
fox:FOXG_00294	ko:K13171
fox:FOXG_00295	ko:K06693
fox:FOXG_00296	ko:K07936
fox:FOXG_00298	ko:K00858
fox:FOXG_00299	ko:K12590
fox:FOXG_00300	ko:K17605
fox:FOXG_00306	ko:K11086
fox:FOXG_00307	ko:K02868
fox:FOXG_00308	ko:K02132
fox:FOXG_00311	ko:K17757
fox:FOXG_00314	ko:K22685
fox:FOXG_00318	ko:K09983
fox:FOXG_00319	ko:K08773
fox:FOXG_00323	ko:K14708
fox:FOXG_00324	ko:K02179
fox:FOXG_00325	ko:K07297
fox:FOXG_00326	ko:K13174
fox:FOXG_00329	ko:K14826
fox:FOXG_00330	ko:K08286
fox:FOXG_00331	ko:K12351
fox:FOXG_00333	ko:K18738
fox:FOXG_00335	ko:K01520
fox:FOXG_00336	ko:K00868
fox:FOXG_00337	ko:K04802
fox:FOXG_00338	ko:K25703
fox:FOXG_00343	ko:K03349
fox:FOXG_00347	ko:K15378
fox:FOXG_00348	ko:K20705
fox:FOXG_00349	ko:K11126
fox:FOXG_00353	ko:K15108
fox:FOXG_00354	ko:K01240
fox:FOXG_00356	ko:K03515
fox:FOXG_00359	ko:K00560
fox:FOXG_00360	ko:K15114
fox:FOXG_00361	ko:K05770
fox:FOXG_00362	ko:K02213
fox:FOXG_00363	ko:K20063
fox:FOXG_00364	ko:K04082
fox:FOXG_00368	ko:K12811
fox:FOXG_00371	ko:K02918
fox:FOXG_00372	ko:K08495
fox:FOXG_00373	ko:K18192
fox:FOXG_00374	ko:K09699
fox:FOXG_00375	ko:K00851
fox:FOXG_00376	ko:K01277
fox:FOXG_00377	ko:K02934
fox:FOXG_00378	ko:K03695
fox:FOXG_00379	ko:K07937
fox:FOXG_00380	ko:K20347
fox:FOXG_00383	ko:K13093
fox:FOXG_00384	ko:K06691
fox:FOXG_00385	ko:K03232
fox:FOXG_00386	ko:K10732
fox:FOXG_00387	ko:K03321
fox:FOXG_00389	ko:K11498
fox:FOXG_00391	ko:K03132
fox:FOXG_00394	ko:K05917
fox:FOXG_00396	ko:K11294
fox:FOXG_00398	ko:K17435
fox:FOXG_00405	ko:K18195
fox:FOXG_00407	ko:K17095
fox:FOXG_00412	ko:K11369
fox:FOXG_00418	ko:K20803
fox:FOXG_00420	ko:K06662
fox:FOXG_00421	ko:K00602
fox:FOXG_00423	ko:K12178
fox:FOXG_00424	ko:K13350
fox:FOXG_00425	ko:K10981
fox:FOXG_00426	ko:K03320
fox:FOXG_00429	ko:K15160
fox:FOXG_00434	ko:K16261
fox:FOXG_00435	ko:K23741
fox:FOXG_00436	ko:K17888
fox:FOXG_00437	ko:K11094
fox:FOXG_00438	ko:K05757
fox:FOXG_00440	ko:K00728
fox:FOXG_00441	ko:K27886
fox:FOXG_00449	ko:K18703
fox:FOXG_00450	ko:K00766
fox:FOXG_00452	ko:K03124
fox:FOXG_00453	ko:K01424
fox:FOXG_00454	ko:K01530
fox:FOXG_00463	ko:K13617
fox:FOXG_00470	ko:K20131
fox:FOXG_00473	ko:K19770
fox:FOXG_00475	ko:K15631
fox:FOXG_00480	ko:K01225
fox:FOXG_00481	ko:K11770
fox:FOXG_00482	ko:K13449
fox:FOXG_00483	ko:K17808
fox:FOXG_00484	ko:K17724
fox:FOXG_00485	ko:K08192
fox:FOXG_00487	ko:K14772
fox:FOXG_00488	ko:K24939
fox:FOXG_00489	ko:K02555
fox:FOXG_00490	ko:K02331
fox:FOXG_00491	ko:K02727
fox:FOXG_00493	ko:K14319
fox:FOXG_00494	ko:K00413
fox:FOXG_00496	ko:K03061
fox:FOXG_00497	ko:K09496
fox:FOXG_00499	ko:K02260
fox:FOXG_00501	ko:K13993
fox:FOXG_00504	ko:K10901
fox:FOXG_00506	ko:K19717
fox:FOXG_00507	ko:K14635
fox:FOXG_00508	ko:K14284
fox:FOXG_00511	ko:K15902
fox:FOXG_00512	ko:K06639
fox:FOXG_00515	ko:K05658
fox:FOXG_00516	ko:K22153
fox:FOXG_00518	ko:K20369
fox:FOXG_00520	ko:K12833
fox:FOXG_00527	ko:K03320
fox:FOXG_00531	ko:K01179
fox:FOXG_00536	ko:K00963
fox:FOXG_00539	ko:K14675
fox:FOXG_00540	ko:K15177
fox:FOXG_00547	ko:K17292
fox:FOXG_00548	ko:K06670
fox:FOXG_00550	ko:K07566
fox:FOXG_00551	ko:K20472
fox:FOXG_00552	ko:K02212
fox:FOXG_00553	ko:K01739
fox:FOXG_00554	ko:K27692
fox:FOXG_00555	ko:K18477
fox:FOXG_00556	ko:K00844
fox:FOXG_00560	ko:K01507
fox:FOXG_00561	ko:K17434
fox:FOXG_00562	ko:K08497
fox:FOXG_00563	ko:K08964
fox:FOXG_00565	ko:K08054
fox:FOXG_00566	ko:K00140
fox:FOXG_00570	ko:K16330
fox:FOXG_00571	ko:K14553
fox:FOXG_00574	ko:K10735
fox:FOXG_00576	ko:K12736
fox:FOXG_00577	ko:K01626
fox:FOXG_00580	ko:K26404
fox:FOXG_00582	ko:K19800
fox:FOXG_00583	ko:K02141
fox:FOXG_00585	ko:K22008
fox:FOXG_00586	ko:K12662
fox:FOXG_00587	ko:K15563
fox:FOXG_00588	ko:K12627
fox:FOXG_00596	ko:K12625
fox:FOXG_00604	ko:K14791
fox:FOXG_00605	ko:K12815
fox:FOXG_00608	ko:K23905
fox:FOXG_00609	ko:K07232
fox:FOXG_00612	ko:K11390
fox:FOXG_00613	ko:K26752
fox:FOXG_00616	ko:K14773
fox:FOXG_00618	ko:K12609
fox:FOXG_00621	ko:K07151
fox:FOXG_00622	ko:K01549
fox:FOXG_00623	ko:K10415
fox:FOXG_00624	ko:K05275
fox:FOXG_00626	ko:K21768
fox:FOXG_00628	ko:K01771
fox:FOXG_00630	ko:K00789
fox:FOXG_00631	ko:K24104
fox:FOXG_00634	ko:K00295
fox:FOXG_00635	ko:K02575
fox:FOXG_00637	ko:K14963
fox:FOXG_00643	ko:K11230
fox:FOXG_00645	ko:K13237
fox:FOXG_00652	ko:K06100
fox:FOXG_00654	ko:K14837
fox:FOXG_00655	ko:K07374
fox:FOXG_00658	ko:K01845
fox:FOXG_00659	ko:K01426
fox:FOXG_00661	ko:K02958
fox:FOXG_00669	ko:K13288
fox:FOXG_00670	ko:K01835
fox:FOXG_00672	ko:K27246
fox:FOXG_00674	ko:K08330
fox:FOXG_00676	ko:K11874
fox:FOXG_00678	ko:K21632
fox:FOXG_00680	ko:K03935
fox:FOXG_00681	ko:K06126
fox:FOXG_00683	ko:K02127
fox:FOXG_00684	ko:K14771
fox:FOXG_00685	ko:K16073
fox:FOXG_00686	ko:K14407
fox:FOXG_00687	ko:K20367
fox:FOXG_00689	ko:K02739
fox:FOXG_00690	ko:K18715
fox:FOXG_00692	ko:K03027
fox:FOXG_00693	ko:K10686
fox:FOXG_00694	ko:K11137
fox:FOXG_00696	ko:K15340
fox:FOXG_00697	ko:K12621
fox:FOXG_00698	ko:K03869
fox:FOXG_00699	ko:K11087
fox:FOXG_00700	ko:K19589
fox:FOXG_00703	ko:K05767
fox:FOXG_00706	ko:K11187
fox:FOXG_00707	ko:K08064
fox:FOXG_00709	ko:K10753
fox:FOXG_00710	ko:K14408
fox:FOXG_00711	ko:K11593
fox:FOXG_00713	ko:K00293
fox:FOXG_00715	ko:K08192
fox:FOXG_00717	ko:K08518
fox:FOXG_00722	ko:K06947
fox:FOXG_00724	ko:K22723
fox:FOXG_00725	ko:K08794
fox:FOXG_00726	ko:K15033
fox:FOXG_00727	ko:K15561
fox:FOXG_00734	ko:K01895
fox:FOXG_00735	ko:K10756
fox:FOXG_00737	ko:K10754
fox:FOXG_00741	ko:K11553
fox:FOXG_00745	ko:K00809
fox:FOXG_00747	ko:K28750
fox:FOXG_00748	ko:K15444
fox:FOXG_00750	ko:K17262
fox:FOXG_00758	ko:K02135
fox:FOXG_00759	ko:K20823
fox:FOXG_00760	ko:K13354
fox:FOXG_00762	ko:K03036
fox:FOXG_00763	ko:K03687
fox:FOXG_00765	ko:K03872
fox:FOXG_00766	ko:K18328
fox:FOXG_00767	ko:K06685
fox:FOXG_00768	ko:K02137
fox:FOXG_00770	ko:K11778
fox:FOXG_00773	ko:K02154
fox:FOXG_00777	ko:K11206
fox:FOXG_00778	ko:K05754
fox:FOXG_00779	ko:K18162
fox:FOXG_00780	ko:K11824
fox:FOXG_00781	ko:K06997
fox:FOXG_00789	ko:K01061
fox:FOXG_00790	ko:K22698
fox:FOXG_00791	ko:K10743
fox:FOXG_00792	ko:K11497
fox:FOXG_00795	ko:K03283
fox:FOXG_00798	ko:K00624
fox:FOXG_00800	ko:K03021
fox:FOXG_00801	ko:K10958
fox:FOXG_00802	ko:K02877
fox:FOXG_00807	ko:K24737
fox:FOXG_00811	ko:K06269
fox:FOXG_00813	ko:K02838
fox:FOXG_00814	ko:K00135
fox:FOXG_00819	ko:K02919
fox:FOXG_00821	ko:K20794
fox:FOXG_00823	ko:K00088
fox:FOXG_00825	ko:K17732
fox:FOXG_00826	ko:K03133
fox:FOXG_00827	ko:K14152
fox:FOXG_00828	ko:K15728
fox:FOXG_00830	ko:K20299
fox:FOXG_00831	ko:K00384
fox:FOXG_00832	ko:K00972
fox:FOXG_00833	ko:K20813
fox:FOXG_00834	ko:K11400
fox:FOXG_00835	ko:K04567
fox:FOXG_00837	ko:K14779
fox:FOXG_00844	ko:K03861
fox:FOXG_00845	ko:K20178
fox:FOXG_00848	ko:K09567
fox:FOXG_00850	ko:K09448
fox:FOXG_00851	ko:K14787
fox:FOXG_00852	ko:K10418
fox:FOXG_00863	ko:K03007
fox:FOXG_00864	ko:K14552
fox:FOXG_00869	ko:K14009
fox:FOXG_00871	ko:K27388
fox:FOXG_00872	ko:K20824
fox:FOXG_00873	ko:K10846
fox:FOXG_00875	ko:K03648
fox:FOXG_00876	ko:K14026
fox:FOXG_00879	ko:K01872
fox:FOXG_00881	ko:K01738
fox:FOXG_00882	ko:K03145
fox:FOXG_00884	ko:K14796
fox:FOXG_00885	ko:K10761
fox:FOXG_00886	ko:K14961
fox:FOXG_00887	ko:K03006
fox:FOXG_00893	ko:K03283
fox:FOXG_00899	ko:K01301
fox:FOXG_00901	ko:K00326
fox:FOXG_00903	ko:K15544
fox:FOXG_00910	ko:K12734
fox:FOXG_00912	ko:K12737
fox:FOXG_00913	ko:K09419
fox:FOXG_00915	ko:K09531
fox:FOXG_00916	ko:K14688
fox:FOXG_00918	ko:K06990
fox:FOXG_00919	ko:K08486
fox:FOXG_00921	ko:K01183
fox:FOXG_00923	ko:K14404
fox:FOXG_00928	ko:K00128
fox:FOXG_00932	ko:K20477
fox:FOXG_00935	ko:K03857
fox:FOXG_00936	ko:K14807
fox:FOXG_00946	ko:K10258
fox:FOXG_00948	ko:K02995
fox:FOXG_00950	ko:K10592
fox:FOXG_00951	ko:K02991
fox:FOXG_00952	ko:K11270
fox:FOXG_00953	ko:K07561
fox:FOXG_00954	ko:K02147
fox:FOXG_00955	ko:K01640
fox:FOXG_00956	ko:K07374
fox:FOXG_00961	ko:K00415
fox:FOXG_00962	ko:K03023
fox:FOXG_00965	ko:K11568
fox:FOXG_00966	ko:K02988
fox:FOXG_00971	ko:K23309
fox:FOXG_00972	ko:K22074
fox:FOXG_00973	ko:K25880
fox:FOXG_00974	ko:K02140
fox:FOXG_00976	ko:K03122
fox:FOXG_00977	ko:K01230
fox:FOXG_00978	ko:K03363
fox:FOXG_00980	ko:K19487
fox:FOXG_00984	ko:K05544
fox:FOXG_00985	ko:K13344
fox:FOXG_00987	ko:K10751
fox:FOXG_00995	ko:K08334
fox:FOXG_00997	ko:K03097
fox:FOXG_01001	ko:K02949
fox:FOXG_01002	ko:K11563
fox:FOXG_01006	ko:K17560
fox:FOXG_01008	ko:K01930
fox:FOXG_01009	ko:K01930
fox:FOXG_01010	ko:K17785
fox:FOXG_01011	ko:K07888
fox:FOXG_01012	ko:K21797
fox:FOXG_01014	ko:K01870
fox:FOXG_01017	ko:K17714
fox:FOXG_01018	ko:K05293
fox:FOXG_01019	ko:K14843
fox:FOXG_01021	ko:K10398
fox:FOXG_01024	ko:K07300
fox:FOXG_01025	ko:K08286
fox:FOXG_01026	ko:K05283
fox:FOXG_01032	ko:K00102
fox:FOXG_01034	ko:K27411
fox:FOXG_01038	ko:K10866
fox:FOXG_01044	ko:K23333
fox:FOXG_01046	ko:K17778
fox:FOXG_01052	ko:K00759
fox:FOXG_01054	ko:K06664
fox:FOXG_01062	ko:K13348
fox:FOXG_01064	ko:K14521
fox:FOXG_01067	ko:K22685
fox:FOXG_01070	ko:K08008
fox:FOXG_01071	ko:K01427
fox:FOXG_01072	ko:K11315
fox:FOXG_01073	ko:K13621
fox:FOXG_01074	ko:K00237
fox:FOXG_01075	ko:K01866
fox:FOXG_01076	ko:K20405
fox:FOXG_01077	ko:K04523
fox:FOXG_01078	ko:K00344
fox:FOXG_01079	ko:K25201
fox:FOXG_01080	ko:K01868
fox:FOXG_01081	ko:K09102
fox:FOXG_01082	ko:K06287
fox:FOXG_01089	ko:K01887
fox:FOXG_01090	ko:K09553
fox:FOXG_01099	ko:K11099
fox:FOXG_01100	ko:K18064
fox:FOXG_01101	ko:K05349
fox:FOXG_01107	ko:K14686
fox:FOXG_01108	ko:K21547
fox:FOXG_01110	ko:K12471
fox:FOXG_01111	ko:K01802
fox:FOXG_01112	ko:K03025
fox:FOXG_01114	ko:K06067
fox:FOXG_01115	ko:K03030
fox:FOXG_01121	ko:K23785
fox:FOXG_01122	ko:K08192
fox:FOXG_01131	ko:K25058
fox:FOXG_01134	ko:K01669
fox:FOXG_01135	ko:K02971
fox:FOXG_01139	ko:K02894
fox:FOXG_01142	ko:K00027
fox:FOXG_01147	ko:K01192
fox:FOXG_01148	ko:K07880
fox:FOXG_01149	ko:K01655
fox:FOXG_01152	ko:K09885
fox:FOXG_01156	ko:K07304
fox:FOXG_01157	ko:K21890
fox:FOXG_01158	ko:K10273
fox:FOXG_01159	ko:K01655
fox:FOXG_01161	ko:K01754
fox:FOXG_01165	ko:K14833
fox:FOXG_01166	ko:K12184
fox:FOXG_01167	ko:K17765
fox:FOXG_01168	ko:K00921
fox:FOXG_01170	ko:K22066
fox:FOXG_01171	ko:K18660
fox:FOXG_01172	ko:K03259
fox:FOXG_01176	ko:K23362
fox:FOXG_01178	ko:K02830
fox:FOXG_01180	ko:K06062
fox:FOXG_01182	ko:K01012
fox:FOXG_01184	ko:K09660
fox:FOXG_01189	ko:K01456
fox:FOXG_01190	ko:K14548
fox:FOXG_01191	ko:K00763
fox:FOXG_01193	ko:K12389
fox:FOXG_01196	ko:K14829
fox:FOXG_01197	ko:K22069
fox:FOXG_01201	ko:K23562
fox:FOXG_01203	ko:K15287
fox:FOXG_01208	ko:K04618
fox:FOXG_01217	ko:K00545
fox:FOXG_01225	ko:K21403
fox:FOXG_01261	ko:K05034
fox:FOXG_01262	ko:K01273
fox:FOXG_01265	ko:K08192
fox:FOXG_01266	ko:K18551
fox:FOXG_01274	ko:K19564
fox:FOXG_01282	ko:K01062
fox:FOXG_01284	ko:K01336
fox:FOXG_01288	ko:K12670
fox:FOXG_01289	ko:K12870
fox:FOXG_01293	ko:K18447
fox:FOXG_01294	ko:K01515
fox:FOXG_01298	ko:K12176
fox:FOXG_01301	ko:K01915
fox:FOXG_01303	ko:K01637
fox:FOXG_01304	ko:K27797
fox:FOXG_01307	ko:K00799
fox:FOXG_01310	ko:K07975
fox:FOXG_01311	ko:K28450
fox:FOXG_01312	ko:K02954
fox:FOXG_01313	ko:K05349
fox:FOXG_01314	ko:K15532
fox:FOXG_01315	ko:K08192
fox:FOXG_01322	ko:K00135
fox:FOXG_01323	ko:K00274
fox:FOXG_01324	ko:K09248
fox:FOXG_01328	ko:K11811
fox:FOXG_01335	ko:K09246
fox:FOXG_01338	ko:K00128
fox:FOXG_01352	ko:K15530
fox:FOXG_01354	ko:K18064
fox:FOXG_01355	ko:K03325
fox:FOXG_01365	ko:K05349
fox:FOXG_01380	ko:K27873
fox:FOXG_01408	ko:K07511
fox:FOXG_01413	ko:K02984
fox:FOXG_01417	ko:K25829
fox:FOXG_01418	ko:K00761
fox:FOXG_01420	ko:K07208
fox:FOXG_01421	ko:K24134
fox:FOXG_01422	ko:K01519
fox:FOXG_01423	ko:K18532
fox:FOXG_01424	ko:K10357
fox:FOXG_01425	ko:K00058
fox:FOXG_01426	ko:K11279
fox:FOXG_01429	ko:K10578
fox:FOXG_01432	ko:K19219
fox:FOXG_01433	ko:K14857
fox:FOXG_01434	ko:K22140
fox:FOXG_01438	ko:K14823
fox:FOXG_01440	ko:K01725
fox:FOXG_01447	ko:K11422
fox:FOXG_01449	ko:K17945
fox:FOXG_01450	ko:K14851
fox:FOXG_01452	ko:K15448
fox:FOXG_01453	ko:K03768
fox:FOXG_01454	ko:K02952
fox:FOXG_01455	ko:K01273
fox:FOXG_01456	ko:K01866
fox:FOXG_01460	ko:K12396
fox:FOXG_01462	ko:K23563
fox:FOXG_01463	ko:K17053
fox:FOXG_01468	ko:K02202
fox:FOXG_01469	ko:K15071
fox:FOXG_01470	ko:K00928
fox:FOXG_01471	ko:K09173
fox:FOXG_01472	ko:K17279
fox:FOXG_01473	ko:K08284
fox:FOXG_01479	ko:K15710
fox:FOXG_01482	ko:K13278
fox:FOXG_01487	ko:K01409
fox:FOXG_01488	ko:K11322
fox:FOXG_01489	ko:K06268
fox:FOXG_01491	ko:K02996
fox:FOXG_01492	ko:K03233
fox:FOXG_01494	ko:K14795
fox:FOXG_01502	ko:K15147
fox:FOXG_01504	ko:K22745
fox:FOXG_01505	ko:K28527
fox:FOXG_01507	ko:K13102
fox:FOXG_01508	ko:K15171
fox:FOXG_01509	ko:K04460
fox:FOXG_01510	ko:K13118
fox:FOXG_01511	ko:K08869
fox:FOXG_01512	ko:K01950
fox:FOXG_01520	ko:K13124
fox:FOXG_01521	ko:K03854
fox:FOXG_01522	ko:K16572
fox:FOXG_01526	ko:K15407
fox:FOXG_01528	ko:K06201
fox:FOXG_01531	ko:K14558
fox:FOXG_01532	ko:K16948
fox:FOXG_01533	ko:K00898
fox:FOXG_01534	ko:K11838
fox:FOXG_01535	ko:K08711
fox:FOXG_01536	ko:K00799
fox:FOXG_01541	ko:K14822
fox:FOXG_01544	ko:K00234
fox:FOXG_01555	ko:K10246
fox:FOXG_01556	ko:K02264
fox:FOXG_01558	ko:K14845
fox:FOXG_01559	ko:K08838
fox:FOXG_01562	ko:K12831
fox:FOXG_01563	ko:K15115
fox:FOXG_01565	ko:K12161
fox:FOXG_01566	ko:K11374
fox:FOXG_01567	ko:K26384
fox:FOXG_01568	ko:K23498
fox:FOXG_01569	ko:K10355
fox:FOXG_01570	ko:K09562
fox:FOXG_01571	ko:K02931
fox:FOXG_01573	ko:K11518
fox:FOXG_01574	ko:K19030
fox:FOXG_01575	ko:K03083
fox:FOXG_01576	ko:K12882
fox:FOXG_01578	ko:K03177
fox:FOXG_01579	ko:K05665
fox:FOXG_01580	ko:K07573
fox:FOXG_01585	ko:K23387
fox:FOXG_01588	ko:K18724
fox:FOXG_01589	ko:K11675
fox:FOXG_01590	ko:K09829
fox:FOXG_01591	ko:K03305
fox:FOXG_01596	ko:K14566
fox:FOXG_01597	ko:K10755
fox:FOXG_01599	ko:K13989
fox:FOXG_01603	ko:K11131
fox:FOXG_01606	ko:K23719
fox:FOXG_01607	ko:K14798
fox:FOXG_01608	ko:K14539
fox:FOXG_01611	ko:K00029
fox:FOXG_01615	ko:K02930
fox:FOXG_01618	ko:K02358
fox:FOXG_01619	ko:K02980
fox:FOXG_01620	ko:K09584
fox:FOXG_01621	ko:K23788
fox:FOXG_01625	ko:K02327
fox:FOXG_01626	ko:K00262
fox:FOXG_01627	ko:K01796
fox:FOXG_01628	ko:K23481
fox:FOXG_01629	ko:K22382
fox:FOXG_01631	ko:K18423
fox:FOXG_01634	ko:K11501
fox:FOXG_01635	ko:K12608
fox:FOXG_01636	ko:K02328
fox:FOXG_01638	ko:K17989
fox:FOXG_01639	ko:K11511
fox:FOXG_01645	ko:K11971
fox:FOXG_01646	ko:K07252
fox:FOXG_01647	ko:K00858
fox:FOXG_01651	ko:K16912
fox:FOXG_01652	ko:K01069
fox:FOXG_01657	ko:K10863
fox:FOXG_01658	ko:K13026
fox:FOXG_01659	ko:K15042
fox:FOXG_01660	ko:K11109
fox:FOXG_01661	ko:K06671
fox:FOXG_01662	ko:K03190
fox:FOXG_01663	ko:K03026
fox:FOXG_01665	ko:K14263
fox:FOXG_01668	ko:K06659
fox:FOXG_01669	ko:K15105
fox:FOXG_01671	ko:K12386
fox:FOXG_01672	ko:K01869
fox:FOXG_01673	ko:K25004
fox:FOXG_01675	ko:K23679
fox:FOXG_01677	ko:K13800
fox:FOXG_01679	ko:K15030
fox:FOXG_01680	ko:K06641
fox:FOXG_01681	ko:K12488
fox:FOXG_01684	ko:K19691
fox:FOXG_01687	ko:K06676
fox:FOXG_01688	ko:K13754
fox:FOXG_01689	ko:K17497
fox:FOXG_01691	ko:K08736
fox:FOXG_01693	ko:K05956
fox:FOXG_01695	ko:K14852
fox:FOXG_01696	ko:K17408
fox:FOXG_01697	ko:K02210
fox:FOXG_01698	ko:K13338
fox:FOXG_01699	ko:K01082
fox:FOXG_01701	ko:K11367
fox:FOXG_01702	ko:K06174
fox:FOXG_01703	ko:K12821
fox:FOXG_01705	ko:K10731
fox:FOXG_01708	ko:K06116
fox:FOXG_01709	ko:K01304
fox:FOXG_01711	ko:K14292
fox:FOXG_01712	ko:K26797
fox:FOXG_01713	ko:K12668
fox:FOXG_01714	ko:K28766
fox:FOXG_01717	ko:K09549
fox:FOXG_01718	ko:K08065
fox:FOXG_01719	ko:K15216
fox:FOXG_01721	ko:K26680
fox:FOXG_01722	ko:K20195
fox:FOXG_01728	ko:K24083
fox:FOXG_01729	ko:K15263
fox:FOXG_01730	ko:K13346
fox:FOXG_01731	ko:K12236
fox:FOXG_01732	ko:K22138
fox:FOXG_01733	ko:K01958
fox:FOXG_01735	ko:K28545
fox:FOXG_01738	ko:K04564
fox:FOXG_01740	ko:K21547
fox:FOXG_01747	ko:K27537
