fgr:FGSG_00017	ko:K01293
fgr:FGSG_00317	ko:K17262
fgr:FGSG_00319	ko:K15444
fgr:FGSG_00320	ko:K28750
fgr:FGSG_00323	ko:K00809
fgr:FGSG_00325	ko:K11553
fgr:FGSG_00327	ko:K10754
fgr:FGSG_00329	ko:K10756
fgr:FGSG_00330	ko:K01895
fgr:FGSG_00336	ko:K15033
fgr:FGSG_00337	ko:K08794
fgr:FGSG_00338	ko:K22723
fgr:FGSG_00340	ko:K06947
fgr:FGSG_00343	ko:K08518
fgr:FGSG_00345	ko:K08192
fgr:FGSG_00346	ko:K00293
fgr:FGSG_00348	ko:K11593
fgr:FGSG_00349	ko:K14408
fgr:FGSG_00350	ko:K10753
fgr:FGSG_00352	ko:K08064
fgr:FGSG_00353	ko:K11187
fgr:FGSG_00355	ko:K05767
fgr:FGSG_00357	ko:K19589
fgr:FGSG_00358	ko:K11087
fgr:FGSG_00359	ko:K03869
fgr:FGSG_00360	ko:K12621
fgr:FGSG_00361	ko:K15340
fgr:FGSG_00363	ko:K11137
fgr:FGSG_00364	ko:K10686
fgr:FGSG_00365	ko:K03027
fgr:FGSG_00366	ko:K18715
fgr:FGSG_00367	ko:K02739
fgr:FGSG_00369	ko:K20367
fgr:FGSG_00370	ko:K14407
fgr:FGSG_00371	ko:K16073
fgr:FGSG_00372	ko:K14771
fgr:FGSG_00373	ko:K02127
fgr:FGSG_00375	ko:K06126
fgr:FGSG_00376	ko:K03935
fgr:FGSG_00378	ko:K21632
fgr:FGSG_00380	ko:K11874
fgr:FGSG_00382	ko:K08330
fgr:FGSG_00385	ko:K27246
fgr:FGSG_00387	ko:K01835
fgr:FGSG_00388	ko:K13288
fgr:FGSG_00395	ko:K02958
fgr:FGSG_00397	ko:K07374
fgr:FGSG_00398	ko:K14837
fgr:FGSG_00407	ko:K13237
fgr:FGSG_00408	ko:K11230
fgr:FGSG_00409	ko:K01489
fgr:FGSG_00414	ko:K14963
fgr:FGSG_00416	ko:K02575
fgr:FGSG_00417	ko:K00295
fgr:FGSG_00420	ko:K24104
fgr:FGSG_00421	ko:K00789
fgr:FGSG_00423	ko:K01771
fgr:FGSG_00425	ko:K21768
fgr:FGSG_00427	ko:K05275
fgr:FGSG_00428	ko:K10415
fgr:FGSG_00429	ko:K01549
fgr:FGSG_00430	ko:K07151
fgr:FGSG_00434	ko:K12609
fgr:FGSG_00435	ko:K17508
fgr:FGSG_00436	ko:K14773
fgr:FGSG_00439	ko:K26752
fgr:FGSG_00440	ko:K11390
fgr:FGSG_00443	ko:K07232
fgr:FGSG_00444	ko:K23905
fgr:FGSG_00447	ko:K01512
fgr:FGSG_00448	ko:K12815
fgr:FGSG_00449	ko:K14791
fgr:FGSG_00458	ko:K12625
fgr:FGSG_00466	ko:K12627
fgr:FGSG_00467	ko:K15563
fgr:FGSG_00468	ko:K12662
fgr:FGSG_00469	ko:K22008
fgr:FGSG_00471	ko:K02141
fgr:FGSG_00472	ko:K19800
fgr:FGSG_00475	ko:K26404
fgr:FGSG_00478	ko:K01626
fgr:FGSG_00480	ko:K12736
fgr:FGSG_00482	ko:K10735
fgr:FGSG_00485	ko:K14553
fgr:FGSG_00486	ko:K16330
fgr:FGSG_00490	ko:K00140
fgr:FGSG_00491	ko:K08054
fgr:FGSG_00493	ko:K08964
fgr:FGSG_00494	ko:K08497
fgr:FGSG_00495	ko:K17434
fgr:FGSG_00496	ko:K01507
fgr:FGSG_00499	ko:K12666
fgr:FGSG_00500	ko:K00844
fgr:FGSG_00501	ko:K18477
fgr:FGSG_00502	ko:K27692
fgr:FGSG_00503	ko:K01739
fgr:FGSG_00504	ko:K02212
fgr:FGSG_00505	ko:K20472
fgr:FGSG_00506	ko:K07566
fgr:FGSG_00507	ko:K20291
fgr:FGSG_00508	ko:K01537
fgr:FGSG_00509	ko:K06670
fgr:FGSG_00510	ko:K17292
fgr:FGSG_00519	ko:K15177
fgr:FGSG_00520	ko:K14675
fgr:FGSG_00524	ko:K00963
fgr:FGSG_00529	ko:K03320
fgr:FGSG_00536	ko:K12833
fgr:FGSG_00538	ko:K20369
fgr:FGSG_00540	ko:K22153
fgr:FGSG_00541	ko:K05658
fgr:FGSG_00543	ko:K06639
fgr:FGSG_00548	ko:K14635
fgr:FGSG_00549	ko:K19717
fgr:FGSG_00551	ko:K10901
fgr:FGSG_00554	ko:K13993
fgr:FGSG_00556	ko:K02260
fgr:FGSG_00558	ko:K09496
fgr:FGSG_00559	ko:K03061
fgr:FGSG_00561	ko:K00413
fgr:FGSG_00562	ko:K14319
fgr:FGSG_00564	ko:K02727
fgr:FGSG_00565	ko:K02555
fgr:FGSG_00566	ko:K24939
fgr:FGSG_00567	ko:K14772
fgr:FGSG_00568	ko:K17808
fgr:FGSG_00570	ko:K11770
fgr:FGSG_00571	ko:K01225
fgr:FGSG_00577	ko:K19770
fgr:FGSG_00581	ko:K20131
fgr:FGSG_00587	ko:K13617
fgr:FGSG_00589	ko:K01783
fgr:FGSG_00590	ko:K24029
fgr:FGSG_00595	ko:K01530
fgr:FGSG_00596	ko:K01424
fgr:FGSG_00597	ko:K03124
fgr:FGSG_00598	ko:K00766
fgr:FGSG_00600	ko:K18703
fgr:FGSG_00607	ko:K27886
fgr:FGSG_00608	ko:K00728
fgr:FGSG_00610	ko:K05757
fgr:FGSG_00611	ko:K17888
fgr:FGSG_00612	ko:K23741
fgr:FGSG_00613	ko:K16261
fgr:FGSG_00617	ko:K15160
fgr:FGSG_00620	ko:K03320
fgr:FGSG_00621	ko:K10981
fgr:FGSG_00622	ko:K13350
fgr:FGSG_00623	ko:K12178
fgr:FGSG_00629	ko:K10258
fgr:FGSG_00631	ko:K02995
fgr:FGSG_00633	ko:K10592
fgr:FGSG_00634	ko:K02991
fgr:FGSG_00635	ko:K11270
fgr:FGSG_00636	ko:K07561
fgr:FGSG_00637	ko:K02147
fgr:FGSG_00638	ko:K01640
fgr:FGSG_00639	ko:K07374
fgr:FGSG_00644	ko:K00415
fgr:FGSG_00645	ko:K03023
fgr:FGSG_00648	ko:K11568
fgr:FGSG_00649	ko:K02988
fgr:FGSG_00653	ko:K23309
fgr:FGSG_00654	ko:K22074
fgr:FGSG_00655	ko:K25880
fgr:FGSG_00656	ko:K02140
fgr:FGSG_00658	ko:K03122
fgr:FGSG_00659	ko:K01230
fgr:FGSG_00660	ko:K03363
fgr:FGSG_00665	ko:K05544
fgr:FGSG_00666	ko:K13344
fgr:FGSG_00667	ko:K10751
fgr:FGSG_00671	ko:K02949
fgr:FGSG_00672	ko:K11563
fgr:FGSG_00677	ko:K03097
fgr:FGSG_00682	ko:K17560
fgr:FGSG_00684	ko:K01930
fgr:FGSG_00685	ko:K01930
fgr:FGSG_00686	ko:K17785
fgr:FGSG_00688	ko:K21797
fgr:FGSG_00690	ko:K01870
fgr:FGSG_00693	ko:K17714
fgr:FGSG_00694	ko:K05293
fgr:FGSG_00695	ko:K14843
fgr:FGSG_00697	ko:K10398
fgr:FGSG_00700	ko:K05283
fgr:FGSG_00706	ko:K00102
fgr:FGSG_00707	ko:K27411
fgr:FGSG_00715	ko:K23333
fgr:FGSG_00717	ko:K17778
fgr:FGSG_00722	ko:K00759
fgr:FGSG_00724	ko:K06664
fgr:FGSG_00730	ko:K13348
fgr:FGSG_00732	ko:K14521
fgr:FGSG_00736	ko:K22685
fgr:FGSG_00738	ko:K28063
fgr:FGSG_00739	ko:K08008
fgr:FGSG_00740	ko:K01427
fgr:FGSG_00741	ko:K11315
fgr:FGSG_00742	ko:K13621
fgr:FGSG_00743	ko:K00237
fgr:FGSG_00744	ko:K01866
fgr:FGSG_00745	ko:K20405
fgr:FGSG_00746	ko:K04523
fgr:FGSG_00747	ko:K00344
fgr:FGSG_00748	ko:K25201
fgr:FGSG_00749	ko:K01868
fgr:FGSG_00750	ko:K09102
fgr:FGSG_00751	ko:K06287
fgr:FGSG_00756	ko:K18064
fgr:FGSG_00757	ko:K11099
fgr:FGSG_00765	ko:K05916
fgr:FGSG_00766	ko:K09553
fgr:FGSG_00767	ko:K05349
fgr:FGSG_00773	ko:K14686
fgr:FGSG_00774	ko:K21547
fgr:FGSG_00776	ko:K12471
fgr:FGSG_00777	ko:K01802
fgr:FGSG_00778	ko:K03025
fgr:FGSG_00780	ko:K06067
fgr:FGSG_00781	ko:K03030
fgr:FGSG_00783	ko:K05972
fgr:FGSG_00786	ko:K23785
fgr:FGSG_00787	ko:K08192
fgr:FGSG_00794	ko:K25058
fgr:FGSG_00797	ko:K01669
fgr:FGSG_00798	ko:K02971
fgr:FGSG_00802	ko:K02894
fgr:FGSG_00805	ko:K00027
fgr:FGSG_00807	ko:K01192
fgr:FGSG_00808	ko:K07880
fgr:FGSG_00811	ko:K09885
fgr:FGSG_00815	ko:K07304
fgr:FGSG_00818	ko:K02154
fgr:FGSG_00819	ko:K14403
fgr:FGSG_00821	ko:K11206
fgr:FGSG_00822	ko:K05754
fgr:FGSG_00823	ko:K18162
fgr:FGSG_00824	ko:K11824
fgr:FGSG_00825	ko:K06997
fgr:FGSG_00832	ko:K01061
fgr:FGSG_00833	ko:K22698
fgr:FGSG_00834	ko:K10743
fgr:FGSG_00838	ko:K03283
fgr:FGSG_00840	ko:K00624
fgr:FGSG_00843	ko:K03021
fgr:FGSG_00844	ko:K10958
fgr:FGSG_00845	ko:K02877
fgr:FGSG_00848	ko:K24737
fgr:FGSG_00852	ko:K06269
fgr:FGSG_00861	ko:K00088
fgr:FGSG_00863	ko:K17732
fgr:FGSG_00864	ko:K03133
fgr:FGSG_00865	ko:K14152
fgr:FGSG_00866	ko:K15728
fgr:FGSG_00870	ko:K20299
fgr:FGSG_00871	ko:K00384
fgr:FGSG_00872	ko:K00972
fgr:FGSG_00873	ko:K20813
fgr:FGSG_00874	ko:K11400
fgr:FGSG_00875	ko:K04567
fgr:FGSG_00877	ko:K14779
fgr:FGSG_00884	ko:K09567
fgr:FGSG_00886	ko:K10418
fgr:FGSG_00887	ko:K15183
fgr:FGSG_00892	ko:K14552
fgr:FGSG_00898	ko:K14009
fgr:FGSG_00900	ko:K27388
fgr:FGSG_00901	ko:K20824
fgr:FGSG_00902	ko:K03145
fgr:FGSG_00903	ko:K01738
fgr:FGSG_00904	ko:K01520
fgr:FGSG_00906	ko:K01872
fgr:FGSG_00909	ko:K14026
fgr:FGSG_00911	ko:K03648
fgr:FGSG_00913	ko:K14796
fgr:FGSG_00914	ko:K10761
fgr:FGSG_00915	ko:K14961
fgr:FGSG_00916	ko:K03006
fgr:FGSG_00921	ko:K03283
fgr:FGSG_00925	ko:K01301
fgr:FGSG_00926	ko:K00326
fgr:FGSG_00930	ko:K15544
fgr:FGSG_00939	ko:K09531
fgr:FGSG_00940	ko:K12734
fgr:FGSG_00945	ko:K12737
fgr:FGSG_00946	ko:K09419
fgr:FGSG_00947	ko:K14688
fgr:FGSG_00949	ko:K06990
fgr:FGSG_00950	ko:K08486
fgr:FGSG_00952	ko:K01183
fgr:FGSG_00957	ko:K20477
fgr:FGSG_00960	ko:K03857
fgr:FGSG_00961	ko:K14807
fgr:FGSG_00969	ko:K00602
fgr:FGSG_00970	ko:K06662
fgr:FGSG_00972	ko:K20803
fgr:FGSG_00979	ko:K00128
fgr:FGSG_00982	ko:K11369
fgr:FGSG_00986	ko:K17095
fgr:FGSG_00989	ko:K18195
fgr:FGSG_00997	ko:K17435
fgr:FGSG_01000	ko:K05917
fgr:FGSG_01002	ko:K03132
fgr:FGSG_01004	ko:K11498
fgr:FGSG_01006	ko:K03321
fgr:FGSG_01007	ko:K10732
fgr:FGSG_01008	ko:K03232
fgr:FGSG_01010	ko:K13093
fgr:FGSG_01013	ko:K20347
fgr:FGSG_01014	ko:K07937
fgr:FGSG_01015	ko:K03695
fgr:FGSG_01016	ko:K02934
fgr:FGSG_01017	ko:K01277
fgr:FGSG_01018	ko:K00851
fgr:FGSG_01019	ko:K18192
fgr:FGSG_01020	ko:K08495
fgr:FGSG_01021	ko:K02918
fgr:FGSG_01024	ko:K12811
fgr:FGSG_01028	ko:K04082
fgr:FGSG_01029	ko:K20063
fgr:FGSG_01030	ko:K02213
fgr:FGSG_01031	ko:K05770
fgr:FGSG_01032	ko:K15114
fgr:FGSG_01035	ko:K03515
fgr:FGSG_01037	ko:K01240
fgr:FGSG_01038	ko:K15108
fgr:FGSG_01042	ko:K11126
fgr:FGSG_01043	ko:K15378
fgr:FGSG_01046	ko:K03349
fgr:FGSG_01051	ko:K25703
fgr:FGSG_01052	ko:K04802
fgr:FGSG_01053	ko:K00868
fgr:FGSG_01055	ko:K18738
fgr:FGSG_01057	ko:K12351
fgr:FGSG_01058	ko:K08286
fgr:FGSG_01059	ko:K14826
fgr:FGSG_01062	ko:K13174
fgr:FGSG_01063	ko:K00560
fgr:FGSG_01064	ko:K07297
fgr:FGSG_01065	ko:K02179
fgr:FGSG_01066	ko:K14708
fgr:FGSG_01069	ko:K17757
fgr:FGSG_01072	ko:K09983
fgr:FGSG_01081	ko:K02868
fgr:FGSG_01082	ko:K11086
fgr:FGSG_01086	ko:K01652
fgr:FGSG_01091	ko:K12590
fgr:FGSG_01092	ko:K17605
fgr:FGSG_01094	ko:K11344
fgr:FGSG_01096	ko:K14650
fgr:FGSG_01097	ko:K13171
fgr:FGSG_01098	ko:K06693
fgr:FGSG_01099	ko:K07936
fgr:FGSG_01102	ko:K11108
fgr:FGSG_01104	ko:K01889
fgr:FGSG_01105	ko:K11135
fgr:FGSG_01106	ko:K27103
fgr:FGSG_01107	ko:K15631
fgr:FGSG_01109	ko:K15280
fgr:FGSG_01111	ko:K00033
fgr:FGSG_01115	ko:K22911
fgr:FGSG_01116	ko:K03139
fgr:FGSG_01117	ko:K15077
fgr:FGSG_01118	ko:K12158
fgr:FGSG_01119	ko:K17081
fgr:FGSG_01121	ko:K24272
fgr:FGSG_01123	ko:K03029
fgr:FGSG_01124	ko:K20303
fgr:FGSG_01125	ko:K03012
fgr:FGSG_01128	ko:K14844
fgr:FGSG_01131	ko:K00793
fgr:FGSG_01132	ko:K08991
fgr:FGSG_01133	ko:K01836
fgr:FGSG_01134	ko:K11434
fgr:FGSG_01135	ko:K14842
fgr:FGSG_01136	ko:K02888
fgr:FGSG_01137	ko:K08866
fgr:FGSG_01138	ko:K23553
fgr:FGSG_01141	ko:K00294
fgr:FGSG_01150	ko:K06018
fgr:FGSG_01151	ko:K00605
fgr:FGSG_01152	ko:K02144
fgr:FGSG_01154	ko:K02940
fgr:FGSG_01155	ko:K18466
fgr:FGSG_01157	ko:K04482
fgr:FGSG_01160	ko:K02732
fgr:FGSG_01161	ko:K00888
fgr:FGSG_01164	ko:K00794
fgr:FGSG_01167	ko:K14570
fgr:FGSG_01169	ko:K14001
fgr:FGSG_01174	ko:K13342
fgr:FGSG_01175	ko:K14847
fgr:FGSG_01177	ko:K01758
fgr:FGSG_01182	ko:K02326
fgr:FGSG_01184	ko:K12585
fgr:FGSG_01185	ko:K14538
fgr:FGSG_01186	ko:K01845
fgr:FGSG_01187	ko:K12826
fgr:FGSG_01188	ko:K08286
fgr:FGSG_01189	ko:K17792
fgr:FGSG_01193	ko:K11761
fgr:FGSG_01194	ko:K10625
fgr:FGSG_01195	ko:K00419
fgr:FGSG_01196	ko:K01537
fgr:FGSG_01197	ko:K14294
fgr:FGSG_01198	ko:K03064
fgr:FGSG_01199	ko:K00820
fgr:FGSG_01200	ko:K02736
fgr:FGSG_01203	ko:K07748
fgr:FGSG_01207	ko:K10585
fgr:FGSG_01208	ko:K10755
fgr:FGSG_01210	ko:K12854
fgr:FGSG_01212	ko:K02605
fgr:FGSG_01215	ko:K12273
fgr:FGSG_01216	ko:K14015
fgr:FGSG_01217	ko:K01955
fgr:FGSG_01219	ko:K24121
fgr:FGSG_01220	ko:K03015
fgr:FGSG_01221	ko:K02510
fgr:FGSG_01225	ko:K06902
fgr:FGSG_01226	ko:K10365
fgr:FGSG_01230	ko:K15102
fgr:FGSG_01231	ko:K11872
fgr:FGSG_01232	ko:K22939
fgr:FGSG_01233	ko:K03847
fgr:FGSG_01234	ko:K01768
fgr:FGSG_01236	ko:K02735
fgr:FGSG_01237	ko:K15627
fgr:FGSG_01238	ko:K02920
fgr:FGSG_01241	ko:K06630
fgr:FGSG_01243	ko:K20279
fgr:FGSG_01244	ko:K13217
fgr:FGSG_01245	ko:K00428
fgr:FGSG_01248	ko:K01868
fgr:FGSG_01254	ko:K15429
fgr:FGSG_01256	ko:K19177
fgr:FGSG_01257	ko:K19984
fgr:FGSG_01258	ko:K05545
fgr:FGSG_01263	ko:K18599
fgr:FGSG_01265	ko:K05853
fgr:FGSG_01270	ko:K23166
fgr:FGSG_01272	ko:K00698
fgr:FGSG_01275	ko:K14439
fgr:FGSG_01276	ko:K23952
fgr:FGSG_01278	ko:K02917
fgr:FGSG_01279	ko:K00036
fgr:FGSG_01280	ko:K15156
fgr:FGSG_01281	ko:K00231
fgr:FGSG_01282	ko:K23039
fgr:FGSG_01283	ko:K12373
fgr:FGSG_01285	ko:K00838
fgr:FGSG_01287	ko:K20476
fgr:FGSG_01288	ko:K03115
fgr:FGSG_01290	ko:K02886
fgr:FGSG_01291	ko:K23469
fgr:FGSG_01292	ko:K12880
fgr:FGSG_01294	ko:K00799
fgr:FGSG_01295	ko:K08176
fgr:FGSG_01299	ko:K12844
fgr:FGSG_01300	ko:K12869
fgr:FGSG_01302	ko:K08157
fgr:FGSG_01304	ko:K18757
fgr:FGSG_01308	ko:K20406
fgr:FGSG_01309	ko:K00894
fgr:FGSG_01312	ko:K12767
fgr:FGSG_01314	ko:K03251
fgr:FGSG_01316	ko:K20520
fgr:FGSG_01320	ko:K17065
fgr:FGSG_01323	ko:K14301
fgr:FGSG_01328	ko:K02148
fgr:FGSG_01329	ko:K00860
fgr:FGSG_01332	ko:K14832
fgr:FGSG_01333	ko:K01881
fgr:FGSG_01334	ko:K04797
fgr:FGSG_01336	ko:K02603
fgr:FGSG_01337	ko:K12862
fgr:FGSG_01338	ko:K06694
fgr:FGSG_01339	ko:K20286
fgr:FGSG_01341	ko:K21543
fgr:FGSG_01343	ko:K03245
fgr:FGSG_01344	ko:K17979
fgr:FGSG_01345	ko:K11884
fgr:FGSG_01346	ko:K01689
fgr:FGSG_01347	ko:K02178
fgr:FGSG_01348	ko:K10771
fgr:FGSG_01351	ko:K01238
fgr:FGSG_01353	ko:K11483
fgr:FGSG_01354	ko:K11396
fgr:FGSG_01355	ko:K18803
fgr:FGSG_01357	ko:K14781
fgr:FGSG_01358	ko:K19950
fgr:FGSG_01360	ko:K23567
fgr:FGSG_01361	ko:K01599
fgr:FGSG_01364	ko:K21864
fgr:FGSG_01369	ko:K04354
fgr:FGSG_01370	ko:K15278
fgr:FGSG_01371	ko:K01490
fgr:FGSG_01372	ko:K20046
fgr:FGSG_01374	ko:K20295
fgr:FGSG_01375	ko:K15118
fgr:FGSG_01377	ko:K09548
fgr:FGSG_01381	ko:K11098
fgr:FGSG_01382	ko:K14209
fgr:FGSG_01386	ko:K14537
fgr:FGSG_01388	ko:K05681
fgr:FGSG_01391	ko:K02355
fgr:FGSG_01392	ko:K05824
fgr:FGSG_01394	ko:K02994
fgr:FGSG_01395	ko:K00486
fgr:FGSG_01397	ko:K01265
fgr:FGSG_01398	ko:K20368
fgr:FGSG_01399	ko:K12816
fgr:FGSG_01403	ko:K03809
fgr:FGSG_01406	ko:K03511
fgr:FGSG_01407	ko:K24976
fgr:FGSG_01408	ko:K09569
fgr:FGSG_01410	ko:K10356
fgr:FGSG_01411	ko:K18932
fgr:FGSG_01415	ko:K23568
fgr:FGSG_01417	ko:K17069
fgr:FGSG_01419	ko:K01897
fgr:FGSG_01422	ko:K01647
fgr:FGSG_01424	ko:K15560
fgr:FGSG_01425	ko:K01535
fgr:FGSG_01429	ko:K14309
fgr:FGSG_01430	ko:K00875
fgr:FGSG_01432	ko:K27691
fgr:FGSG_01433	ko:K00264
fgr:FGSG_01435	ko:K08504
fgr:FGSG_01439	ko:K23336
fgr:FGSG_01443	ko:K03469
fgr:FGSG_01444	ko:K15442
fgr:FGSG_01445	ko:K00900
fgr:FGSG_01446	ko:K11806
fgr:FGSG_01447	ko:K03011
fgr:FGSG_01448	ko:K13577
fgr:FGSG_01449	ko:K01889
fgr:FGSG_01457	ko:K22485
fgr:FGSG_01463	ko:K14328
fgr:FGSG_01464	ko:K15427
fgr:FGSG_01465	ko:K07055
fgr:FGSG_01467	ko:K02608
fgr:FGSG_01470	ko:K06874
fgr:FGSG_01473	ko:K18696
fgr:FGSG_01475	ko:K08955
fgr:FGSG_01480	ko:K15326
fgr:FGSG_01485	ko:K01792
fgr:FGSG_01486	ko:K01626
fgr:FGSG_01490	ko:K03539
fgr:FGSG_01495	ko:K15130
fgr:FGSG_01497	ko:K05767
fgr:FGSG_01501	ko:K17686
fgr:FGSG_01502	ko:K12180
fgr:FGSG_01504	ko:K02910
fgr:FGSG_01505	ko:K06688
fgr:FGSG_01506	ko:K02216
fgr:FGSG_01508	ko:K01011
fgr:FGSG_01509	ko:K02981
fgr:FGSG_01516	ko:K02882
fgr:FGSG_01519	ko:K24364
fgr:FGSG_01522	ko:K17550
fgr:FGSG_01523	ko:K17743
fgr:FGSG_01526	ko:K15628
fgr:FGSG_01527	ko:K15731
fgr:FGSG_01528	ko:K09481
fgr:FGSG_01535	ko:K00728
fgr:FGSG_01537	ko:K18633
fgr:FGSG_01538	ko:K11558
fgr:FGSG_01539	ko:K15218
fgr:FGSG_01541	ko:K02906
fgr:FGSG_01542	ko:K18173
fgr:FGSG_01544	ko:K06653
fgr:FGSG_01545	ko:K13117
fgr:FGSG_01550	ko:K11567
fgr:FGSG_01552	ko:K18467
fgr:FGSG_01553	ko:K14794
fgr:FGSG_01555	ko:K21452
fgr:FGSG_01560	ko:K14264
fgr:FGSG_01561	ko:K00106
fgr:FGSG_01562	ko:K27389
fgr:FGSG_01567	ko:K21053
fgr:FGSG_01572	ko:K01580
fgr:FGSG_01573	ko:K00818
fgr:FGSG_01574	ko:K21141
fgr:FGSG_01575	ko:K03241
fgr:FGSG_01580	ko:K07034
fgr:FGSG_01591	ko:K15102
fgr:FGSG_01592	ko:K14856
fgr:FGSG_01593	ko:K02429
fgr:FGSG_01596	ko:K22277
fgr:FGSG_01605	ko:K03066
fgr:FGSG_01606	ko:K07300
fgr:FGSG_01607	ko:K01732
fgr:FGSG_01611	ko:K19785
fgr:FGSG_01612	ko:K20179
fgr:FGSG_01614	ko:K08739
fgr:FGSG_01618	ko:K12343
fgr:FGSG_01619	ko:K01309
fgr:FGSG_01620	ko:K09518
fgr:FGSG_01621	ko:K01179
fgr:FGSG_01623	ko:K03134
fgr:FGSG_01624	ko:K10949
fgr:FGSG_01627	ko:K11251
fgr:FGSG_01640	ko:K03843
fgr:FGSG_01641	ko:K21157
fgr:FGSG_01642	ko:K03800
fgr:FGSG_01643	ko:K01736
fgr:FGSG_01644	ko:K20176
fgr:FGSG_01645	ko:K20237
fgr:FGSG_01647	ko:K07756
fgr:FGSG_01649	ko:K04513
fgr:FGSG_01652	ko:K07441
fgr:FGSG_01653	ko:K17402
fgr:FGSG_01655	ko:K02272
fgr:FGSG_01656	ko:K12598
fgr:FGSG_01661	ko:K19245
fgr:FGSG_01662	ko:K08192
fgr:FGSG_01665	ko:K17608
fgr:FGSG_01666	ko:K10847
fgr:FGSG_01667	ko:K27165
fgr:FGSG_01671	ko:K18045
fgr:FGSG_01672	ko:K18278
fgr:FGSG_01675	ko:K16261
fgr:FGSG_01686	ko:K00002
fgr:FGSG_01689	ko:K07443
fgr:FGSG_01691	ko:K10882
fgr:FGSG_01698	ko:K01501
fgr:FGSG_01699	ko:K10865
fgr:FGSG_01703	ko:K12200
fgr:FGSG_01705	ko:K07192
fgr:FGSG_01708	ko:K01082
fgr:FGSG_01711	ko:K01049
fgr:FGSG_01712	ko:K08192
fgr:FGSG_01717	ko:K13076
fgr:FGSG_01730	ko:K00273
fgr:FGSG_01742	ko:K15303
fgr:FGSG_01743	ko:K01895
fgr:FGSG_01759	ko:K00128
fgr:FGSG_01762	ko:K19564
fgr:FGSG_01765	ko:K01253
fgr:FGSG_01792	ko:K08192
fgr:FGSG_01797	ko:K14334
fgr:FGSG_01802	ko:K07300
fgr:FGSG_01803	ko:K07407
fgr:FGSG_01812	ko:K00101
fgr:FGSG_01813	ko:K18123
fgr:FGSG_01814	ko:K08192
fgr:FGSG_01816	ko:K00799
fgr:FGSG_01818	ko:K05994
fgr:FGSG_01823	ko:K22438
fgr:FGSG_01826	ko:K00140
fgr:FGSG_01829	ko:K01785
fgr:FGSG_01836	ko:K05841
fgr:FGSG_01839	ko:K02685
fgr:FGSG_01842	ko:K08286
fgr:FGSG_01845	ko:K18732
fgr:FGSG_01852	ko:K28544
fgr:FGSG_01854	ko:K18752
fgr:FGSG_01856	ko:K19787
fgr:FGSG_01863	ko:K05610
fgr:FGSG_01865	ko:K01613
fgr:FGSG_01866	ko:K07078
fgr:FGSG_01870	ko:K14563
fgr:FGSG_01871	ko:K02880
