fpu:FPSE_00004	ko:K00293
fpu:FPSE_00438	ko:K15429
fpu:FPSE_00445	ko:K01868
fpu:FPSE_00446	ko:K11663
fpu:FPSE_00448	ko:K09580
fpu:FPSE_00449	ko:K17776
fpu:FPSE_00450	ko:K23334
fpu:FPSE_00454	ko:K01424
fpu:FPSE_00457	ko:K01560
fpu:FPSE_00458	ko:K08157
fpu:FPSE_00459	ko:K00804
fpu:FPSE_00461	ko:K18669
fpu:FPSE_00464	ko:K12194
fpu:FPSE_00466	ko:K01247
fpu:FPSE_00468	ko:K12840
fpu:FPSE_00469	ko:K18655
fpu:FPSE_00477	ko:K01698
fpu:FPSE_00478	ko:K17787
fpu:FPSE_00479	ko:K02879
fpu:FPSE_00480	ko:K14774
fpu:FPSE_00481	ko:K03249
fpu:FPSE_00484	ko:K12871
fpu:FPSE_00489	ko:K11324
fpu:FPSE_00490	ko:K20346
fpu:FPSE_00491	ko:K02218
fpu:FPSE_00492	ko:K00459
fpu:FPSE_00495	ko:K08968
fpu:FPSE_00497	ko:K14549
fpu:FPSE_00498	ko:K20103
fpu:FPSE_00503	ko:K10570
fpu:FPSE_00504	ko:K08339
fpu:FPSE_00508	ko:K04487
fpu:FPSE_00509	ko:K12562
fpu:FPSE_00514	ko:K01099
fpu:FPSE_00516	ko:K20120
fpu:FPSE_00517	ko:K01056
fpu:FPSE_00518	ko:K03320
fpu:FPSE_00519	ko:K03360
fpu:FPSE_00521	ko:K03676
fpu:FPSE_00523	ko:K02872
fpu:FPSE_00524	ko:K12274
fpu:FPSE_00529	ko:K11826
fpu:FPSE_00534	ko:K09958
fpu:FPSE_00551	ko:K06634
fpu:FPSE_00560	ko:K09252
fpu:FPSE_00564	ko:K00326
fpu:FPSE_00566	ko:K05665
fpu:FPSE_00568	ko:K19791
fpu:FPSE_00569	ko:K07243
fpu:FPSE_00573	ko:K01027
fpu:FPSE_00576	ko:K13577
fpu:FPSE_00585	ko:K00128
fpu:FPSE_00588	ko:K14708
fpu:FPSE_00598	ko:K26550
fpu:FPSE_00620	ko:K01061
fpu:FPSE_00627	ko:K06997
fpu:FPSE_00628	ko:K11824
fpu:FPSE_00629	ko:K18162
fpu:FPSE_00630	ko:K05754
fpu:FPSE_00631	ko:K03363
fpu:FPSE_00633	ko:K19487
fpu:FPSE_00637	ko:K05544
fpu:FPSE_00638	ko:K13344
fpu:FPSE_00639	ko:K10751
fpu:FPSE_00642	ko:K02949
fpu:FPSE_00643	ko:K11563
fpu:FPSE_00648	ko:K03097
fpu:FPSE_00650	ko:K08334
fpu:FPSE_00655	ko:K17560
fpu:FPSE_00657	ko:K01930
fpu:FPSE_00658	ko:K01930
fpu:FPSE_00659	ko:K17785
fpu:FPSE_00660	ko:K07888
fpu:FPSE_00661	ko:K21797
fpu:FPSE_00663	ko:K01870
fpu:FPSE_00676	ko:K03334
fpu:FPSE_00682	ko:K01555
fpu:FPSE_00693	ko:K08095
fpu:FPSE_00700	ko:K01427
fpu:FPSE_00711	ko:K00698
fpu:FPSE_00715	ko:K05349
fpu:FPSE_00716	ko:K00428
fpu:FPSE_00727	ko:K18740
fpu:FPSE_00736	ko:K00276
fpu:FPSE_00744	ko:K00852
fpu:FPSE_00747	ko:K08711
fpu:FPSE_00749	ko:K03377
fpu:FPSE_00758	ko:K03241
fpu:FPSE_00759	ko:K11361
fpu:FPSE_00760	ko:K21141
fpu:FPSE_00761	ko:K00818
fpu:FPSE_00762	ko:K01580
fpu:FPSE_00766	ko:K03175
fpu:FPSE_00767	ko:K10597
fpu:FPSE_00768	ko:K21053
fpu:FPSE_00772	ko:K27389
fpu:FPSE_00773	ko:K00106
fpu:FPSE_00774	ko:K14264
fpu:FPSE_00779	ko:K21452
fpu:FPSE_00781	ko:K14794
fpu:FPSE_00782	ko:K18467
fpu:FPSE_00784	ko:K11567
fpu:FPSE_00789	ko:K13117
fpu:FPSE_00791	ko:K06653
fpu:FPSE_00793	ko:K18173
fpu:FPSE_00794	ko:K02906
fpu:FPSE_00796	ko:K15218
fpu:FPSE_00797	ko:K11558
fpu:FPSE_00798	ko:K18633
fpu:FPSE_00800	ko:K00728
fpu:FPSE_00807	ko:K09481
fpu:FPSE_00808	ko:K15731
fpu:FPSE_00809	ko:K15628
fpu:FPSE_00817	ko:K01050
fpu:FPSE_00821	ko:K00456
fpu:FPSE_00823	ko:K15449
fpu:FPSE_00824	ko:K17770
fpu:FPSE_00825	ko:K19986
fpu:FPSE_00826	ko:K04382
fpu:FPSE_00829	ko:K00354
fpu:FPSE_00831	ko:K12584
fpu:FPSE_00834	ko:K28669
fpu:FPSE_00835	ko:K12860
fpu:FPSE_00837	ko:K01522
fpu:FPSE_00839	ko:K24927
fpu:FPSE_00841	ko:K03164
fpu:FPSE_00842	ko:K17606
fpu:FPSE_00847	ko:K14569
fpu:FPSE_00849	ko:K11566
fpu:FPSE_00851	ko:K11343
fpu:FPSE_00852	ko:K15217
fpu:FPSE_00853	ko:K17677
fpu:FPSE_00856	ko:K27804
fpu:FPSE_00857	ko:K00327
fpu:FPSE_00859	ko:K07179
fpu:FPSE_00860	ko:K03028
fpu:FPSE_00862	ko:K01934
fpu:FPSE_00863	ko:K15436
fpu:FPSE_00865	ko:K07827
fpu:FPSE_00868	ko:K19356
fpu:FPSE_00869	ko:K17967
fpu:FPSE_00870	ko:K22071
fpu:FPSE_00872	ko:K01113
fpu:FPSE_00874	ko:K06063
fpu:FPSE_00875	ko:K18195
fpu:FPSE_00878	ko:K17790
fpu:FPSE_00880	ko:K02604
fpu:FPSE_00883	ko:K13120
fpu:FPSE_00885	ko:K00122
fpu:FPSE_00893	ko:K01268
fpu:FPSE_00898	ko:K10750
fpu:FPSE_00900	ko:K24195
fpu:FPSE_00906	ko:K15289
fpu:FPSE_00909	ko:K18802
fpu:FPSE_00914	ko:K10393
fpu:FPSE_00915	ko:K23856
fpu:FPSE_00919	ko:K04043
fpu:FPSE_00921	ko:K03107
fpu:FPSE_00925	ko:K01956
fpu:FPSE_00926	ko:K12492
fpu:FPSE_00927	ko:K28514
fpu:FPSE_00928	ko:K00535
fpu:FPSE_00933	ko:K22817
fpu:FPSE_00935	ko:K14967
fpu:FPSE_00936	ko:K09184
fpu:FPSE_00939	ko:K08192
fpu:FPSE_00943	ko:K02606
fpu:FPSE_00956	ko:K14835
fpu:FPSE_00957	ko:K23388
fpu:FPSE_00958	ko:K05765
fpu:FPSE_00959	ko:K04077
fpu:FPSE_00968	ko:K14016
fpu:FPSE_00969	ko:K13099
fpu:FPSE_00970	ko:K00134
fpu:FPSE_00973	ko:K11338
fpu:FPSE_00977	ko:K22386
fpu:FPSE_00978	ko:K14005
fpu:FPSE_00981	ko:K02267
fpu:FPSE_00982	ko:K25059
fpu:FPSE_00983	ko:K02947
fpu:FPSE_00985	ko:K12232
fpu:FPSE_00986	ko:K17440
fpu:FPSE_00987	ko:K19829
fpu:FPSE_00988	ko:K17553
fpu:FPSE_00990	ko:K15296
fpu:FPSE_00991	ko:K01178
fpu:FPSE_00992	ko:K11984
fpu:FPSE_00994	ko:K28441
fpu:FPSE_00995	ko:K00611
fpu:FPSE_00996	ko:K01653
fpu:FPSE_00998	ko:K20310
fpu:FPSE_01001	ko:K03510
fpu:FPSE_01004	ko:K02925
fpu:FPSE_01005	ko:K06665
fpu:FPSE_01006	ko:K00600
fpu:FPSE_01007	ko:K11359
fpu:FPSE_01013	ko:K01104
fpu:FPSE_01015	ko:K20290
fpu:FPSE_01016	ko:K28106
fpu:FPSE_01017	ko:K20474
fpu:FPSE_01022	ko:K01230
fpu:FPSE_01023	ko:K00294
fpu:FPSE_01026	ko:K23553
fpu:FPSE_01027	ko:K08866
fpu:FPSE_01028	ko:K02888
fpu:FPSE_01029	ko:K11434
fpu:FPSE_01030	ko:K01836
fpu:FPSE_01031	ko:K08991
fpu:FPSE_01032	ko:K00793
fpu:FPSE_01035	ko:K14844
fpu:FPSE_01042	ko:K14785
fpu:FPSE_01043	ko:K07562
fpu:FPSE_01045	ko:K14454
fpu:FPSE_01047	ko:K28507
fpu:FPSE_01048	ko:K23565
fpu:FPSE_01049	ko:K11825
fpu:FPSE_01051	ko:K28515
fpu:FPSE_01052	ko:K11599
fpu:FPSE_01057	ko:K08734
fpu:FPSE_01059	ko:K17541
fpu:FPSE_01061	ko:K01537
fpu:FPSE_01062	ko:K06047
fpu:FPSE_01066	ko:K10736
fpu:FPSE_01067	ko:K11215
fpu:FPSE_01070	ko:K24752
fpu:FPSE_01071	ko:K11786
fpu:FPSE_01073	ko:K10703
fpu:FPSE_01076	ko:K09537
fpu:FPSE_01078	ko:K22073
fpu:FPSE_01081	ko:K14778
fpu:FPSE_01082	ko:K08294
fpu:FPSE_01083	ko:K06176
fpu:FPSE_01084	ko:K09579
fpu:FPSE_01085	ko:K02951
fpu:FPSE_01086	ko:K02957
fpu:FPSE_01088	ko:K15174
fpu:FPSE_01090	ko:K07511
fpu:FPSE_01091	ko:K01738
fpu:FPSE_01093	ko:K02884
fpu:FPSE_01095	ko:K21618
fpu:FPSE_01096	ko:K02731
fpu:FPSE_01098	ko:K10843
fpu:FPSE_01099	ko:K24976
fpu:FPSE_01104	ko:K01188
fpu:FPSE_01105	ko:K14347
fpu:FPSE_01109	ko:K04627
fpu:FPSE_01111	ko:K21456
fpu:FPSE_01114	ko:K00643
fpu:FPSE_01116	ko:K14154
fpu:FPSE_01117	ko:K03885
fpu:FPSE_01118	ko:K14550
fpu:FPSE_01123	ko:K28059
fpu:FPSE_01124	ko:K17103
fpu:FPSE_01129	ko:K22684
fpu:FPSE_01131	ko:K10301
fpu:FPSE_01132	ko:K05610
fpu:FPSE_01133	ko:K18725
fpu:FPSE_01134	ko:K15859
fpu:FPSE_01135	ko:K03240
fpu:FPSE_01137	ko:K09131
fpu:FPSE_01140	ko:K15026
fpu:FPSE_01141	ko:K20826
fpu:FPSE_01143	ko:K12404
fpu:FPSE_01144	ko:K09140
fpu:FPSE_01145	ko:K02519
fpu:FPSE_01147	ko:K15620
fpu:FPSE_01151	ko:K01027
fpu:FPSE_01153	ko:K14544
fpu:FPSE_01154	ko:K15445
fpu:FPSE_01161	ko:K14709
fpu:FPSE_01162	ko:K08735
fpu:FPSE_01164	ko:K01621
fpu:FPSE_01171	ko:K12600
fpu:FPSE_01172	ko:K15364
fpu:FPSE_01173	ko:K20296
fpu:FPSE_01176	ko:K12392
fpu:FPSE_01178	ko:K15028
fpu:FPSE_01179	ko:K14801
fpu:FPSE_01180	ko:K09498
fpu:FPSE_01182	ko:K09202
fpu:FPSE_01186	ko:K09499
fpu:FPSE_01190	ko:K20457
fpu:FPSE_01195	ko:K04712
fpu:FPSE_01199	ko:K24348
fpu:FPSE_01200	ko:K02942
fpu:FPSE_01202	ko:K09780
fpu:FPSE_01206	ko:K22133
fpu:FPSE_01207	ko:K20121
fpu:FPSE_01210	ko:K01951
fpu:FPSE_01217	ko:K05864
fpu:FPSE_01218	ko:K07560
fpu:FPSE_01219	ko:K12580
fpu:FPSE_01223	ko:K00031
fpu:FPSE_01225	ko:K19998
fpu:FPSE_01228	ko:K12373
fpu:FPSE_01231	ko:K12833
fpu:FPSE_01233	ko:K20369
fpu:FPSE_01235	ko:K22153
fpu:FPSE_01236	ko:K05658
fpu:FPSE_01238	ko:K06639
fpu:FPSE_01239	ko:K15902
fpu:FPSE_01242	ko:K14284
fpu:FPSE_01243	ko:K14635
fpu:FPSE_01244	ko:K19717
fpu:FPSE_01246	ko:K10901
fpu:FPSE_01250	ko:K13993
fpu:FPSE_01252	ko:K02260
fpu:FPSE_01254	ko:K09496
fpu:FPSE_01255	ko:K03061
fpu:FPSE_01257	ko:K00413
fpu:FPSE_01258	ko:K14319
fpu:FPSE_01259	ko:K01427
fpu:FPSE_01260	ko:K11315
fpu:FPSE_01261	ko:K13621
fpu:FPSE_01262	ko:K00237
fpu:FPSE_01263	ko:K01866
fpu:FPSE_01264	ko:K20405
fpu:FPSE_01265	ko:K04523
fpu:FPSE_01266	ko:K00344
fpu:FPSE_01267	ko:K25201
fpu:FPSE_01268	ko:K01868
fpu:FPSE_01269	ko:K09102
fpu:FPSE_01270	ko:K06287
fpu:FPSE_01275	ko:K01887
fpu:FPSE_01276	ko:K18064
fpu:FPSE_01277	ko:K11099
fpu:FPSE_01285	ko:K05916
fpu:FPSE_01288	ko:K12619
fpu:FPSE_01289	ko:K20361
fpu:FPSE_01290	ko:K11436
fpu:FPSE_01292	ko:K24155
fpu:FPSE_01293	ko:K24726
fpu:FPSE_01294	ko:K01870
fpu:FPSE_01295	ko:K08272
fpu:FPSE_01296	ko:K11650
fpu:FPSE_01297	ko:K06276
fpu:FPSE_01300	ko:K08501
fpu:FPSE_01302	ko:K01183
fpu:FPSE_01303	ko:K14050
fpu:FPSE_01305	ko:K06125
fpu:FPSE_01306	ko:K02973
fpu:FPSE_01309	ko:K16536
fpu:FPSE_01310	ko:K00939
fpu:FPSE_01311	ko:K03038
fpu:FPSE_01312	ko:K00228
fpu:FPSE_01313	ko:K08341
fpu:FPSE_01316	ko:K01694
fpu:FPSE_01317	ko:K02902
fpu:FPSE_01319	ko:K14455
fpu:FPSE_01320	ko:K08141
fpu:FPSE_01328	ko:K17417
fpu:FPSE_01329	ko:K02516
fpu:FPSE_01330	ko:K12820
fpu:FPSE_01341	ko:K10729
fpu:FPSE_01342	ko:K00558
fpu:FPSE_01345	ko:K12736
fpu:FPSE_01347	ko:K10735
fpu:FPSE_01351	ko:K14553
fpu:FPSE_01356	ko:K00140
fpu:FPSE_01357	ko:K08054
fpu:FPSE_01360	ko:K08964
fpu:FPSE_01361	ko:K08497
fpu:FPSE_01362	ko:K17434
fpu:FPSE_01363	ko:K01507
fpu:FPSE_01366	ko:K20628
fpu:FPSE_01369	ko:K08192
fpu:FPSE_01375	ko:K14541
fpu:FPSE_01378	ko:K05662
fpu:FPSE_01381	ko:K17286
fpu:FPSE_01382	ko:K14565
fpu:FPSE_01383	ko:K02146
fpu:FPSE_01385	ko:K14293
fpu:FPSE_01388	ko:K11592
fpu:FPSE_01390	ko:K11593
fpu:FPSE_01393	ko:K22685
fpu:FPSE_01397	ko:K14521
fpu:FPSE_01399	ko:K13348
fpu:FPSE_01404	ko:K20406
fpu:FPSE_01405	ko:K00894
fpu:FPSE_01408	ko:K28063
fpu:FPSE_01409	ko:K08008
fpu:FPSE_01412	ko:K03063
fpu:FPSE_01415	ko:K19691
fpu:FPSE_01416	ko:K11226
fpu:FPSE_01419	ko:K02325
fpu:FPSE_01421	ko:K12761
fpu:FPSE_01422	ko:K01637
fpu:FPSE_01423	ko:K01194
fpu:FPSE_01425	ko:K19838
fpu:FPSE_01426	ko:K13886
fpu:FPSE_01432	ko:K09531
fpu:FPSE_01433	ko:K12734
fpu:FPSE_01438	ko:K12737
fpu:FPSE_01439	ko:K09419
fpu:FPSE_01440	ko:K14688
fpu:FPSE_01442	ko:K08486
fpu:FPSE_01444	ko:K01183
fpu:FPSE_01446	ko:K14404
fpu:FPSE_01449	ko:K20477
fpu:FPSE_01452	ko:K03857
fpu:FPSE_01453	ko:K14807
fpu:FPSE_01461	ko:K00602
fpu:FPSE_01462	ko:K06662
fpu:FPSE_01464	ko:K20803
fpu:FPSE_01472	ko:K00128
fpu:FPSE_01477	ko:K11369
fpu:FPSE_01481	ko:K17095
fpu:FPSE_01484	ko:K18195
fpu:FPSE_01492	ko:K17435
fpu:FPSE_01494	ko:K11294
fpu:FPSE_01496	ko:K05917
fpu:FPSE_01499	ko:K11407
fpu:FPSE_01501	ko:K14820
fpu:FPSE_01502	ko:K07904
fpu:FPSE_01503	ko:K11595
fpu:FPSE_01505	ko:K11676
fpu:FPSE_01514	ko:K09554
fpu:FPSE_01521	ko:K02896
fpu:FPSE_01522	ko:K09539
fpu:FPSE_01524	ko:K10885
fpu:FPSE_01527	ko:K01101
fpu:FPSE_01529	ko:K03165
fpu:FPSE_01536	ko:K11562
fpu:FPSE_01538	ko:K24983
fpu:FPSE_01539	ko:K14815
fpu:FPSE_01540	ko:K11093
fpu:FPSE_01541	ko:K17424
fpu:FPSE_01542	ko:K01803
fpu:FPSE_01549	ko:K17784
fpu:FPSE_01551	ko:K04708
fpu:FPSE_01552	ko:K26109
fpu:FPSE_01557	ko:K00587
fpu:FPSE_01558	ko:K11155
fpu:FPSE_01559	ko:K15542
fpu:FPSE_01560	ko:K01173
fpu:FPSE_01561	ko:K07238
fpu:FPSE_01562	ko:K09191
fpu:FPSE_01563	ko:K03014
fpu:FPSE_01565	ko:K01070
fpu:FPSE_01568	ko:K09527
fpu:FPSE_01569	ko:K15151
fpu:FPSE_01571	ko:K00052
fpu:FPSE_01575	ko:K11673
fpu:FPSE_01578	ko:K13199
fpu:FPSE_01584	ko:K14828
fpu:FPSE_01585	ko:K21845
fpu:FPSE_01586	ko:K14288
fpu:FPSE_01590	ko:K01267
fpu:FPSE_01599	ko:K07953
fpu:FPSE_01601	ko:K09540
fpu:FPSE_01602	ko:K28415
fpu:FPSE_01603	ko:K13509
fpu:FPSE_01605	ko:K07943
fpu:FPSE_01608	ko:K08287
fpu:FPSE_01609	ko:K23503
fpu:FPSE_01610	ko:K00784
fpu:FPSE_01614	ko:K24909
fpu:FPSE_01616	ko:K01649
fpu:FPSE_01618	ko:K13181
fpu:FPSE_01619	ko:K10436
fpu:FPSE_01620	ko:K08502
fpu:FPSE_01622	ko:K03671
fpu:FPSE_01632	ko:K00002
fpu:FPSE_01635	ko:K01210
fpu:FPSE_01636	ko:K03362
fpu:FPSE_01637	ko:K28100
fpu:FPSE_01638	ko:K26141
fpu:FPSE_01640	ko:K07375
fpu:FPSE_01641	ko:K01113
fpu:FPSE_01645	ko:K00988
fpu:FPSE_01647	ko:K10089
fpu:FPSE_01648	ko:K00222
fpu:FPSE_01649	ko:K05349
fpu:FPSE_01657	ko:K03781
fpu:FPSE_01665	ko:K10426
fpu:FPSE_01666	ko:K02993
fpu:FPSE_01667	ko:K06173
fpu:FPSE_01669	ko:K10259
fpu:FPSE_01672	ko:K10661
fpu:FPSE_01674	ko:K11262
fpu:FPSE_01675	ko:K03325
fpu:FPSE_01677	ko:K22075
fpu:FPSE_01678	ko:K01887
fpu:FPSE_01679	ko:K08994
fpu:FPSE_01683	ko:K26405
fpu:FPSE_01688	ko:K08870
fpu:FPSE_01689	ko:K15100
fpu:FPSE_01696	ko:K01265
fpu:FPSE_01702	ko:K03781
fpu:FPSE_01703	ko:K01621
fpu:FPSE_01705	ko:K28030
fpu:FPSE_01706	ko:K00698
fpu:FPSE_01712	ko:K01264
fpu:FPSE_01713	ko:K01697
fpu:FPSE_01714	ko:K12272
fpu:FPSE_01715	ko:K20032
fpu:FPSE_01721	ko:K00306
fpu:FPSE_01725	ko:K09578
fpu:FPSE_01726	ko:K03017
fpu:FPSE_01728	ko:K11429
fpu:FPSE_01730	ko:K01264
fpu:FPSE_01733	ko:K01657
fpu:FPSE_01735	ko:K17362
fpu:FPSE_01736	ko:K09983
fpu:FPSE_01744	ko:K07241
fpu:FPSE_01747	ko:K08329
fpu:FPSE_01749	ko:K16261
fpu:FPSE_01755	ko:K07178
fpu:FPSE_01759	ko:K22124
fpu:FPSE_01761	ko:K14213
fpu:FPSE_01768	ko:K19308
fpu:FPSE_01773	ko:K02735
fpu:FPSE_01775	ko:K01768
fpu:FPSE_01776	ko:K03847
fpu:FPSE_01777	ko:K22939
fpu:FPSE_01778	ko:K11872
fpu:FPSE_01779	ko:K15102
fpu:FPSE_01783	ko:K10365
fpu:FPSE_01785	ko:K06902
fpu:FPSE_01790	ko:K03015
fpu:FPSE_01792	ko:K24121
fpu:FPSE_01794	ko:K01955
fpu:FPSE_01796	ko:K14015
fpu:FPSE_01797	ko:K12273
fpu:FPSE_01799	ko:K02605
fpu:FPSE_01801	ko:K12854
fpu:FPSE_01803	ko:K10755
fpu:FPSE_01804	ko:K10585
fpu:FPSE_01810	ko:K07748
fpu:FPSE_01813	ko:K02736
fpu:FPSE_01814	ko:K00820
fpu:FPSE_01815	ko:K03064
fpu:FPSE_01816	ko:K14294
fpu:FPSE_01817	ko:K01537
fpu:FPSE_01818	ko:K00419
fpu:FPSE_01819	ko:K10625
fpu:FPSE_01820	ko:K11761
fpu:FPSE_01824	ko:K17792
fpu:FPSE_01825	ko:K08286
fpu:FPSE_01826	ko:K12826
fpu:FPSE_01827	ko:K01845
fpu:FPSE_01828	ko:K14538
fpu:FPSE_01829	ko:K12585
fpu:FPSE_01831	ko:K02326
fpu:FPSE_01836	ko:K01758
fpu:FPSE_01837	ko:K19356
fpu:FPSE_01838	ko:K01755
fpu:FPSE_01847	ko:K09831
